Staffel,Teilnehmerin,Platzierung,Alter,Größe (cm),Haarfarbe,Augenfarbe,Hautfarbe,Brustumfang (cm),Taillenumfang (cm),Hüftumfang (cm),Kleidergröße,Schuhgröße
1,Lena Gercke,1,17,178,blond,blau,hell,90,62,90,36,39
1,Yvonne Schröder,2,17,174,blond,blau,hell,,,,,
1,Jennifer Wanderer,3,17,178,braun,,hell,,,,,
1,Janina Ortmann ,4,20,173,blond,grün,hell,85,59,89,,40
1,Lena Meier ,5,20,180,braun,grün,hell,83,61,89,36,40
1,Charlotte Offeney ,5,18,183,,,hell,88,64,80,,
1,Luise Mikulla ,7,16,175,blond,grau/grün,hell,86,66,85,,
1,Micaela Schäfer ,8,22,175,,,hell,85,60,90,,
1,Rahel Krüger ,9,20,170,,,hell,85,62,83,,
1,Céline Roscheck,10,22,182,braun,,hell,90,62,92,,
1,Andrea Lichtenberg ,11,19,179,braun,blau,hell,85,60,88,34,40
1,Anne Mühlmeier ,11,17,175,braun,grün,hell,81,62,85,,
2,Barbara Meier ,1,20,174,rot,blau,hell,81,61,94,36,37
2,Anni Wendler ,2,21,177,blond,blau,hell,85,59,92,,
2,Hana Nitsche ,3,21,172,dunkelbraun,blau/grün,hell,85,59,89,36,37
2,Fiona Erdmann ,4,18,174,braun,grün,hell,84,61,93,36,39
2,Mandy Graff ,4,18,179,blond,blau,hell,85,63,91,36,38
2,Anja Platzer ,6,19,183,braun,braun,hell,84,62,88,36,39
2,Michaela Saskia „Milla“,7,20,175,dunkelbraun,braun,hell,86,61,88,34,39
2,Tonia Michaely,8,19,182,blond,blau,hell,89,69,97,,
2,Aneta Tober ,8,20,175,dunkelbraun,grün,hell,83,61,80,36,39
2,Denise Dahinten,10,19,172,braun,braun,hell,86,65,91,,
2,Alla Kosovan ,11,18,177,braun,braun,hell,85,66,94,,
2,Janina-Catharina Küpper,12,21,183,braun,braun,hell,87,62,92,,
2,Antje Pötke ,13,22,180,braun,braun,hell,89,69,88,,
2,Enyerlina Sanchez ,15,25,183,dunkelbraun,braun,dunkler teint,87,65,96,,
2,Janine Mackenroth ,15,18,173,blond,blau,hell,87,62,92,,
3,Jennifer Hof ,1,16,180,blond,grün,hell,84,65,91,36,39
3,Janina Delia Schmidt ,2,24,177,braun,blau,hell,85,61,90,36,39
3,Christina Leibold ,3,21,175,braun,grün,hell,83,62,90,36,42
3,Carolin Ruppert ,4,24,174,blond,braun/grün,hell,91,65,91,36,40
3,Wanda Badwal ,4,23,173,braun,braun/grün,hell,83,61,88,36,37
3,Gisele Oppermann ,6,20,174,braun,braun ,hell,,,,,
